"city","latitude","stAddress1","stationName","landMark","lastCommunicationTime","id","availableDocks","totalDocks","altitude","stAddress2","longitude","statusValue","testStation","location","postalCode","statusKey","availableBikes"
"",40.76727216,"W 52 St & 11 Ave","W 52 St & 11 Ave","","2015-12-11 11:51:18 AM",72,33,39,"","",-73.99392888,"In Service",False,"","",1,5
"",40.71911552,"Franklin St & W Broadway","Franklin St & W Broadway","","2015-12-11 11:53:53 AM",79,3,33,"","",-74.00666661,"In Service",False,"","",1,27
"",40.71117416,"St James Pl & Pearl St","St James Pl & Pearl St","","2015-12-11 11:54:07 AM",82,21,27,"","",-74.00016545,"In Service",False,"","",1,5
"",40.68382604,"Atlantic Ave & Fort Greene Pl","Atlantic Ave & Fort Greene Pl","","2015-12-11 11:51:32 AM",83,38,62,"","",-73.97632328,"In Service",False,"","",1,24
"",40.74177603,"W 17 St & 8 Ave","W 17 St & 8 Ave","","2015-12-11 11:54:11 AM",116,17,39,"","",-74.00149746,"In Service",False,"","",1,17
"",40.69608941,"Park Ave & St Edwards St","Park Ave & St Edwards St","","2015-12-11 11:54:40 AM",119,14,19,"","",-73.97803415,"In Service",False,"","",1,5
"",40.68676793,"Lexington Ave & Classon Ave","Lexington Ave & Classon Ave","","2015-12-11 11:50:47 AM",120,17,19,"","",-73.95928168,"In Service",False,"","",1,1
"",40.73172428,"Barrow St & Hudson St","Barrow St & Hudson St","","2015-12-11 11:53:48 AM",127,21,31,"","",-74.00674436,"In Service",False,"","",1,10
"",40.72710258,"MacDougal St & Prince St","MacDougal St & Prince St","","2015-12-11 11:54:13 AM",128,1,30,"","",-74.00297088,"In Service",False,"","",1,27
"",40.761628,"E 56 St & Madison Ave","E 56 St & Madison Ave","","2015-12-11 11:53:08 AM",137,5,46,"","",-73.972924,"In Service",False,"","",1,41
"",40.69239502,"Clinton St & Joralemon St","Clinton St & Joralemon St","","2015-12-11 11:51:53 AM",143,21,24,"","",-73.99337909,"In Service",False,"","",1,2
"",40.69839895,"Nassau St & Navy St","Nassau St & Navy St","","2015-12-11 11:50:54 AM",144,16,19,"","",-73.98068914,"In Service",False,"","",1,3
"",40.71625008,"Hudson St & Reade St","Hudson St & Reade St","","2015-12-11 11:54:35 AM",146,16,39,"","",-74.0091059,"In Service",False,"","",1,22
"",40.71542197,"Greenwich St & Warren St","Greenwich St & Warren St","","2015-12-11 11:54:40 AM",147,21,33,"","",-74.01121978,"In Service",False,"","",1,12
"",40.7208736,"E 2 St & Avenue C","E 2 St & Avenue C","","2015-12-11 11:52:25 AM",150,30,31,"","",-73.98085795,"In Service",False,"","",1,0
"",40.722103786686,"Cleveland Pl & Spring St","Cleveland Pl & Spring St","","2015-12-11 11:54:40 AM",151,15,33,"","",-73.997249007225,"In Service",False,"","",1,17
"",40.71473993,"Warren St & Church St","Warren St & Church St","","2015-12-11 11:53:33 AM",152,10,29,"","",-74.00910627,"In Service",False,"","",1,19
"",40.752062307,"E 40 St & 5 Ave","E 40 St & 5 Ave","","1969-12-31 07:00:00 PM",153,1,3,"","",-73.9816324043,"Not In Service",False,"","",3,0
"",40.69089272,"Henry St & Atlantic Ave","Henry St & Atlantic Ave","","2015-12-11 11:52:59 AM",157,21,23,"","",-73.99612349,"In Service",False,"","",1,1
"",40.748238,"E 37 St & Lexington Ave","E 37 St & Lexington Ave","","2015-12-11 11:51:46 AM",160,25,26,"","",-73.978311,"In Service",False,"","",1,0
"",40.72917025,"LaGuardia Pl & W 3 St","LaGuardia Pl & W 3 St","","2015-12-11 11:51:26 AM",161,12,35,"","",-73.99810231,"In Service",False,"","",1,21
"",40.75323098,"E 47 St & 2 Ave","E 47 St & 2 Ave","","2015-12-11 11:53:50 AM",164,8,47,"","",-73.97032517,"In Service",False,"","",1,39
"",40.7489006,"E 39 St & 3 Ave","E 39 St & 3 Ave","","2015-12-11 11:53:58 AM",167,25,45,"","",-73.97604882,"In Service",False,"","",1,19
"",40.73971301,"W 18 St & 6 Ave","W 18 St & 6 Ave","","2015-12-11 11:53:13 AM",168,6,47,"","",-73.99456405,"In Service",False,"","",1,39
"",40.76064679,"Broadway & W 49 St","Broadway & W 49 St","","2015-12-11 11:53:32 AM",173,2,51,"","",-73.98442659,"In Service",False,"","",1,47
"",40.7381765,"E 25 St & 1 Ave","E 25 St & 1 Ave","","2015-12-11 11:53:30 AM",174,30,30,"","",-73.97738662,"In Service",False,"","",1,0
"",40.70905623,"Liberty St & Broadway","Liberty St & Broadway","","2015-12-11 11:53:06 AM",195,6,45,"","",-74.01043382,"In Service",False,"","",1,37
"",40.74334935,"W 16 St & The High Line","W 16 St & The High Line","","2015-12-11 11:54:22 AM",212,0,28,"","",-74.00681753,"In Service",False,"","",1,26
"",40.70037867,"Columbia Heights & Cranberry St","Columbia Heights & Cranberry St","","2015-12-11 11:54:43 AM",216,18,23,"","",-73.99548059,"In Service",False,"","",1,5
"",40.70277159,"Old Fulton St","Old Fulton St","","2015-12-11 11:52:27 AM",217,37,39,"","",-73.99383605,"In Service",False,"","",1,1
