Region_Cod,Region_Nam,District_C,District_N,Ward_Code,Ward_Name,Division,SHAPE_Leng,SHAPE_Area
01,Dodoma,01,Kondoa,011,Bumbuta,,0.76932001548,0.01538337593
01,Dodoma,01,Kondoa,021,Pahi,,0.45021610943,0.00889998717
01,Dodoma,01,Kondoa,041,Haubi,,0.53867181623,0.01217501717
01,Dodoma,01,Kondoa,051,Kalamba,,0.67894112802,0.02322495834
01,Dodoma,01,Kondoa,061,Kwadelo,,0.72111416923,0.02535838225
01,Dodoma,01,Kondoa,071,Masange,,0.30947043005,0.00417121653
01,Dodoma,01,Kondoa,081,Kikilo,,0.40824003111,0.00737236457
01,Dodoma,01,Kondoa,091,Bereko,,0.43334672215,0.00529289915
01,Dodoma,01,Kondoa,101,Kisese,,0.59385932969,0.01675603757
01,Dodoma,01,Kondoa,111,Kikore,,0.51341892733,0.01357508688
01,Dodoma,01,Kondoa,121,Serya,,1.00201554391,0.04687181818
01,Dodoma,01,Kondoa,133,Kilimani,,0.35109409708,0.00496356841
01,Dodoma,01,Kondoa,142,Chemchem,,0.18263367207,0.00140077668
01,Dodoma,01,Kondoa,151,Hondo mairo,,0.54874354992,0.01595016487
01,Dodoma,01,Kondoa,161,Bolisa,,0.22113724376,0.00294937012
01,Dodoma,01,Kondoa,171,Kinyasi,,0.45985232433,0.01015933795
01,Dodoma,01,Kondoa,181,Salanka,,0.35291978500,0.00570298339
01,Dodoma,01,Kondoa,191,Itololo,,0.36410312512,0.00749751733
01,Dodoma,01,Kondoa,201,Itaswi,,1.10010622268,0.06427029064
01,Dodoma,01,Kondoa,211,Suruke,,0.37420996461,0.00599481932
01,Dodoma,01,Kondoa,221,Kingale,,0.91056356383,0.04317129423
01,Dodoma,01,Kondoa,232,Kondoa mjini,,0.23830295612,0.00197709971
01,Dodoma,01,Kondoa,241,Kolo,,0.44874219533,0.00837737390
01,Dodoma,01,Kondoa,251,Changaa,,0.67622971161,0.02042038910
01,Dodoma,01,Kondoa,261,Thawi,,0.51332534921,0.01606452339
01,Dodoma,01,Kondoa,271,Mnenia,,0.42825050595,0.00860424104
01,Dodoma,01,Kondoa,281,Soera,,0.47781831395,0.01014640802
01,Dodoma,02,Mpwapwa,011,Mazae,,0.41886267851,0.00991543799
01,Dodoma,02,Mpwapwa,023,Vingh'awe,,0.36304600152,0.00676933519
01,Dodoma,02,Mpwapwa,031,Matomondo,,0.65641377451,0.01962596022
01,Dodoma,02,Mpwapwa,041,Kimagai,,0.61506189002,0.01378299570
01,Dodoma,02,Mpwapwa,053,Kibakwe,,0.57179440350,0.01256412545
01,Dodoma,02,Mpwapwa,061,Lumuma,,0.73175402608,0.01203252369
01,Dodoma,02,Mpwapwa,071,Luhundwa,,0.76930950948,0.01969793415
01,Dodoma,02,Mpwapwa,081,Massa,,0.78900078057,0.02693632973
01,Dodoma,02,Mpwapwa,091,Ipera,,0.85208788323,0.03399215718
01,Dodoma,02,Mpwapwa,101,Rudi,,1.25697964261,0.06017452142
01,Dodoma,02,Mpwapwa,111,Mlunduzi,,0.93126015738,0.02702415130
01,Dodoma,02,Mpwapwa,121,Wotta,,0.77922658965,0.02677278995
01,Dodoma,02,Mpwapwa,131,Mima,,0.85221908532,0.02424353213
01,Dodoma,02,Mpwapwa,141,Berege,,0.64198909548,0.01852960054
01,Dodoma,02,Mpwapwa,151,Chunyu,,0.74923822222,0.02695848906
01,Dodoma,02,Mpwapwa,161,Mbuga,,0.53409964836,0.01186195907
01,Dodoma,02,Mpwapwa,171,Godegode,,0.76455170021,0.02253098745
01,Dodoma,02,Mpwapwa,183,Mpwapwa,,0.57878910551,0.01108816005
01,Dodoma,02,Mpwapwa,191,Lupeta,,0.40543879465,0.00811940017
01,Dodoma,02,Mpwapwa,201,Gulwe,,0.54981389634,0.01553813921
01,Dodoma,02,Mpwapwa,211,Nghambi,,0.46006745759,0.01120649450
01,Dodoma,02,Mpwapwa,221,Chitemo,,0.76860739268,0.02111940379
01,Dodoma,02,Mpwapwa,231,Iwondo,,0.60653060813,0.01316232898
01,Dodoma,02,Mpwapwa,241,Kingiti,,0.54002573713,0.01313344339
